id,date,days_after_open,day_of_week,hours_after_open,drink_id,name,unit_price,quantity,raining,study_area_id,study_area_name,dist_to_cafe
31,2019/7/22,0,Mon,3,13,Mocha (L),5.4,1,No,5,Carslaw (F07),150
32,2019/7/22,0,Mon,3,2,Macchiato,3.8,1,No,1,Law Library (F10),84
33,2019/7/22,0,Mon,3,12,Chai Latte (S),3.6,1,No,1,Law Library (F10),84
34,2019/7/22,0,Mon,3,1,Ristretto,3.3,1,No,4,Brennan MacCallum (A18),350
35,2019/7/22,0,Mon,3,8,Latte (S),4,1,Yes,5,Carslaw (F07),150
36,2019/7/22,0,Mon,3,11,Chai Latte (L),4.4,1,No,0,Fisher Library (F03),70
37,2019/7/22,0,Mon,3,12,Chai Latte (S),3.6,1,No,0,Fisher Library (F03),70
38,2019/7/22,0,Mon,3,3,Long Black (L),4,1,No,1,Law Library (F10),84
39,2019/7/22,0,Mon,4,10,Cappuccino (S),4,2,No,2,The Quarter (A16),400
40,2019/7/22,0,Mon,4,4,Long Black (S),3.8,2,No,0,Fisher Library (F03),70
41,2019/7/22,0,Mon,4,14,Mocha (S),4.5,1,No,3,Abercrombie (H70),700
42,2019/7/22,0,Mon,5,1,Ristretto,3.3,1,No,5,Carslaw (F07),150
43,2019/7/22,0,Mon,5,11,Chai Latte (L),4.4,1,No,5,Carslaw (F07),150
44,2019/7/22,0,Mon,5,3,Long Black (L),4,1,No,6,Peter Nicol Russell (PNR),950
45,2019/7/22,0,Mon,5,0,Espresso,3.5,2,No,0,Fisher Library (F03),70
46,2019/7/22,0,Mon,5,0,Espresso,3.5,1,No,1,Law Library (F10),84
47,2019/7/22,0,Mon,5,9,Cappuccino (L),4.9,1,Yes,0,Fisher Library (F03),70
48,2019/7/22,0,Mon,5,15,Hot Chocolate (L),4.6,1,Yes,1,Law Library (F10),84
49,2019/7/22,0,Mon,5,1,Ristretto,3.3,1,No,1,Law Library (F10),84
50,2019/7/23,1,Tue,0,14,Mocha (S),4.5,2,No,4,Brennan MacCallum (A18),350
51,2019/7/23,1,Tue,0,7,Latte (L),4.9,2,No,1,Law Library (F10),84
52,2019/7/23,1,Tue,0,2,Macchiato,3.8,1,No,1,Law Library (F10),84
53,2019/7/23,1,Tue,0,5,Flat White (L),4.9,1,No,4,Brennan MacCallum (A18),350
54,2019/7/23,1,Tue,0,0,Espresso,3.5,1,No,5,Carslaw (F07),150
55,2019/7/23,1,Tue,0,10,Cappuccino (S),4,1,No,1,Law Library (F10),84
56,2019/7/23,1,Tue,0,12,Chai Latte (S),3.6,1,No,5,Carslaw (F07),150
57,2019/7/23,1,Tue,0,2,Macchiato,3.8,1,No,3,Abercrombie (H70),700
58,2019/7/23,1,Tue,0,2,Macchiato,3.8,2,No,2,The Quarter (A16),400
59,2019/7/23,1,Tue,0,16,Hot Chocolate (S),3.8,1,Yes,0,Fisher Library (F03),70
60,2019/7/23,1,Tue,0,7,Latte (L),4.9,1,No,0,Fisher Library (F03),70
61,2019/7/23,1,Tue,0,9,Cappuccino (L),4.9,4,Yes,0,Fisher Library (F03),70
62,2019/7/23,1,Tue,1,2,Macchiato,3.8,1,No,2,The Quarter (A16),400
63,2019/7/23,1,Tue,1,8,Latte (S),4,2,Yes,1,Law Library (F10),84
64,2019/7/23,1,Tue,1,10,Cappuccino (S),4,1,No,0,Fisher Library (F03),70
65,2019/7/23,1,Tue,1,7,Latte (L),4.9,1,No,3,Abercrombie (H70),700
66,2019/7/23,1,Tue,1,7,Latte (L),4.9,1,No,4,Brennan MacCallum (A18),350
67,2019/7/23,1,Tue,1,12,Chai Latte (S),3.6,2,No,5,Carslaw (F07),150
68,2019/7/23,1,Tue,1,3,Long Black (L),4,1,No,5,Carslaw (F07),150
69,2019/7/23,1,Tue,1,9,Cappuccino (L),4.9,2,No,1,Law Library (F10),84
70,2019/7/23,1,Tue,1,0,Espresso,3.5,1,No,3,Abercrombie (H70),700
71,2019/7/23,1,Tue,1,16,Hot Chocolate (S),3.8,1,Yes,1,Law Library (F10),84
72,2019/7/23,1,Tue,2,12,Chai Latte (S),3.6,3,No,5,Carslaw (F07),150
73,2019/7/23,1,Tue,2,1,Ristretto,3.3,1,No,3,Abercrombie (H70),700
74,2019/7/23,1,Tue,2,13,Mocha (L),5.4,2,No,6,Peter Nicol Russell (PNR),950
75,2019/7/23,1,Tue,2,15,Hot Chocolate (L),4.6,1,Yes,0,Fisher Library (F03),70
76,2019/7/23,1,Tue,2,4,Long Black (S),3.8,1,No,1,Law Library (F10),84
77,2019/7/23,1,Tue,2,12,Chai Latte (S),3.6,1,No,6,Peter Nicol Russell (PNR),950
78,2019/7/23,1,Tue,2,1,Ristretto,3.3,1,No,4,Brennan MacCallum (A18),350
79,2019/7/23,1,Tue,2,9,Cappuccino (L),4.9,1,No,1,Law Library (F10),84
80,2019/7/23,1,Tue,2,5,Flat White (L),4.9,1,No,5,Carslaw (F07),150
81,2019/7/23,1,Tue,2,15,Hot Chocolate (L),4.6,1,Yes,0,Fisher Library (F03),70
82,2019/7/23,1,Tue,2,10,Cappuccino (S),4,1,No,3,Abercrombie (H70),700
83,2019/7/23,1,Tue,2,2,Macchiato,3.8,1,No,6,Peter Nicol Russell (PNR),950
84,2019/7/23,1,Tue,3,4,Long Black (S),3.8,1,No,4,Brennan MacCallum (A18),350
85,2019/7/23,1,Tue,3,2,Macchiato,3.8,1,No,1,Law Library (F10),84
86,2019/7/23,1,Tue,3,9,Cappuccino (L),4.9,1,No,2,The Quarter (A16),400
87,2019/7/23,1,Tue,3,15,Hot Chocolate (L),4.6,3,Yes,1,Law Library (F10),84
88,2019/7/23,1,Tue,3,2,Macchiato,3.8,1,No,3,Abercrombie (H70),700
89,2019/7/23,1,Tue,3,9,Cappuccino (L),4.9,3,No,6,Peter Nicol Russell (PNR),950
90,2019/7/23,1,Tue,3,16,Hot Chocolate (S),3.8,1,Yes,1,Law Library (F10),84
91,2019/7/23,1,Tue,3,5,Flat White (L),4.9,1,No,1,Law Library (F10),84
92,2019/7/23,1,Tue,3,3,Long Black (L),4,1,No,5,Carslaw (F07),150
93,2019/7/23,1,Tue,3,7,Latte (L),4.9,2,No,4,Brennan MacCallum (A18),350
94,2019/7/23,1,Tue,3,5,Flat White (L),4.9,1,No,0,Fisher Library (F03),70
95,2019/7/23,1,Tue,4,9,Cappuccino (L),4.9,1,No,1,Law Library (F10),84
96,2019/7/23,1,Tue,4,14,Mocha (S),4.5,1,No,0,Fisher Library (F03),70
97,2019/7/23,1,Tue,4,15,Hot Chocolate (L),4.6,1,Yes,1,Law Library (F10),84
98,2019/7/23,1,Tue,4,2,Macchiato,3.8,1,No,6,Peter Nicol Russell (PNR),950
99,2019/7/23,1,Tue,4,15,Hot Chocolate (L),4.6,1,Yes,5,Carslaw (F07),150
100,2019/7/23,1,Tue,4,0,Espresso,3.5,1,No,4,Brennan MacCallum (A18),350
101,2019/7/23,1,Tue,4,8,Latte (S),4,2,Yes,0,Fisher Library (F03),70
102,2019/7/23,1,Tue,4,7,Latte (L),4.9,1,No,3,Abercrombie (H70),700
103,2019/7/23,1,Tue,4,11,Chai Latte (L),4.4,1,No,5,Carslaw (F07),150
104,2019/7/23,1,Tue,5,1,Ristretto,3.3,1,No,1,Law Library (F10),84
105,2019/7/23,1,Tue,5,7,Latte (L),4.9,2,No,3,Abercrombie (H70),700
106,2019/7/23,1,Tue,5,5,Flat White (L),4.9,2,No,5,Carslaw (F07),150
107,2019/7/23,1,Tue,5,3,Long Black (L),4,1,No,1,Law Library (F10),84
108,2019/7/23,1,Tue,5,6,Flat White (S),4,1,No,5,Carslaw (F07),150
109,2019/7/23,1,Tue,5,13,Mocha (L),5.4,3,No,1,Law Library (F10),84
110,2019/7/23,1,Tue,5,0,Espresso,3.5,1,No,1,Law Library (F10),84
111,2019/7/23,1,Tue,5,2,Macchiato,3.8,4,No,0,Fisher Library (F03),70
112,2019/7/24,2,Wed,0,12,Chai Latte (S),3.6,1,No,3,Abercrombie (H70),700
113,2019/7/24,2,Wed,0,8,Latte (S),4,1,Yes,5,Carslaw (F07),150
114,2019/7/24,2,Wed,0,1,Ristretto,3.3,1,No,3,Abercrombie (H70),700
115,2019/7/24,2,Wed,0,5,Flat White (L),4.9,1,No,5,Carslaw (F07),150
116,2019/7/24,2,Wed,0,1,Ristretto,3.3,1,No,4,Brennan MacCallum (A18),350
117,2019/7/24,2,Wed,0,14,Mocha (S),4.5,2,No,5,Carslaw (F07),150
119,2019/7/24,2,Wed,0,13,Mocha (L),5.4,1,No,3,Abercrombie (H70),700
121,2019/7/24,2,Wed,0,16,Hot Chocolate (S),3.8,1,Yes,1,Law Library (F10),84
122,2019/7/24,2,Wed,0,6,Flat White (S),4,1,No,0,Fisher Library (F03),70
123,2019/7/24,2,Wed,0,11,Chai Latte (L),4.4,1,No,5,Carslaw (F07),150
124,2019/7/24,2,Wed,0,10,Cappuccino (S),4,1,No,0,Fisher Library (F03),70
125,2019/7/24,2,Wed,0,2,Macchiato,3.8,1,No,0,Fisher Library (F03),70
126,2019/7/24,2,Wed,0,13,Mocha (L),5.4,1,No,0,Fisher Library (F03),70
127,2019/7/24,2,Wed,0,12,Chai Latte (S),3.6,2,No,5,Carslaw (F07),150
128,2019/7/24,2,Wed,1,0,Espresso,3.5,1,No,5,Carslaw (F07),150
129,2019/7/24,2,Wed,1,4,Long Black (S),3.8,2,No,0,Fisher Library (F03),70
130,2019/7/24,2,Wed,1,6,Flat White (S),4,1,No,6,Peter Nicol Russell (PNR),950
131,2019/7/24,2,Wed,1,4,Long Black (S),3.8,1,No,2,The Quarter (A16),400
132,2019/7/24,2,Wed,1,8,Latte (S),4,1,Yes,0,Fisher Library (F03),70
133,2019/7/24,2,Wed,1,12,Chai Latte (S),3.6,1,No,0,Fisher Library (F03),70
134,2019/7/24,2,Wed,1,3,Long Black (L),4,3,No,1,Law Library (F10),84
135,2019/7/24,2,Wed,1,7,Latte (L),4.9,1,No,1,Law Library (F10),84
136,2019/7/24,2,Wed,1,14,Mocha (S),4.5,1,No,5,Carslaw (F07),150
137,2019/7/24,2,Wed,1,12,Chai Latte (S),3.6,1,No,3,Abercrombie (H70),700
138,2019/7/24,2,Wed,1,7,Latte (L),4.9,1,No,0,Fisher Library (F03),70
139,2019/7/24,2,Wed,1,5,Flat White (L),4.9,1,No,5,Carslaw (F07),150
140,2019/7/24,2,Wed,1,8,Latte (S),4,1,Yes,0,Fisher Library (F03),70
141,2019/7/24,2,Wed,1,16,Hot Chocolate (S),3.8,1,Yes,1,Law Library (F10),84
142,2019/7/24,2,Wed,2,13,Mocha (L),5.4,1,No,2,The Quarter (A16),400
143,2019/7/24,2,Wed,2,2,Macchiato,3.8,1,No,3,Abercrombie (H70),700
144,2019/7/24,2,Wed,2,3,Long Black (L),4,1,No,5,Carslaw (F07),150
145,2019/7/24,2,Wed,2,14,Mocha (S),4.5,1,No,3,Abercrombie (H70),700
146,2019/7/24,2,Wed,2,9,Cappuccino (L),4.9,1,No,6,Peter Nicol Russell (PNR),950
147,2019/7/24,2,Wed,2,9,Cappuccino (L),4.9,1,No,5,Carslaw (F07),150
148,2019/7/24,2,Wed,2,16,Hot Chocolate (S),3.8,1,Yes,0,Fisher Library (F03),70
149,2019/7/24,2,Wed,2,16,Hot Chocolate (S),3.8,2,Yes,5,Carslaw (F07),150
150,2019/7/24,2,Wed,2,1,Ristretto,3.3,1,No,0,Fisher Library (F03),70
151,2019/7/24,2,Wed,2,13,Mocha (L),5.4,1,No,4,Brennan MacCallum (A18),350
152,2019/7/24,2,Wed,2,3,Long Black (L),4,1,No,0,Fisher Library (F03),70
153,2019/7/24,2,Wed,2,4,Long Black (S),3.8,1,No,0,Fisher Library (F03),70
154,2019/7/24,2,Wed,2,14,Mocha (S),4.5,1,No,5,Carslaw (F07),150
155,2019/7/24,2,Wed,2,9,Cappuccino (L),4.9,1,No,4,Brennan MacCallum (A18),350
156,2019/7/24,2,Wed,2,10,Cappuccino (S),4,1,No,6,Peter Nicol Russell (PNR),950
157,2019/7/24,2,Wed,2,2,Macchiato,3.8,1,No,4,Brennan MacCallum (A18),350
158,2019/7/24,2,Wed,3,9,Cappuccino (L),4.9,2,No,0,Fisher Library (F03),70
159,2019/7/24,2,Wed,3,7,Latte (L),4.9,1,No,1,Law Library (F10),84
160,2019/7/24,2,Wed,3,6,Flat White (S),4,1,No,5,Carslaw (F07),150
161,2019/7/24,2,Wed,3,1,Ristretto,3.3,1,No,6,Peter Nicol Russell (PNR),950
162,2019/7/24,2,Wed,3,7,Latte (L),4.9,1,No,1,Law Library (F10),84
163,2019/7/24,2,Wed,3,2,Macchiato,3.8,2,No,1,Law Library (F10),84
164,2019/7/24,2,Wed,3,4,Long Black (S),3.8,1,No,6,Peter Nicol Russell (PNR),950
165,2019/7/24,2,Wed,4,3,Long Black (L),4,1,No,6,Peter Nicol Russell (PNR),950
166,2019/7/24,2,Wed,4,7,Latte (L),4.9,2,No,2,The Quarter (A16),400
167,2019/7/24,2,Wed,4,6,Flat White (S),4,1,No,2,The Quarter (A16),400
168,2019/7/24,2,Wed,4,4,Long Black (S),3.8,1,No,0,Fisher Library (F03),70
169,2019/7/24,2,Wed,4,5,Flat White (L),4.9,1,No,5,Carslaw (F07),150
170,2019/7/24,2,Wed,4,7,Latte (L),4.9,1,No,0,Fisher Library (F03),70
171,2019/7/24,2,Wed,4,12,Chai Latte (S),3.6,1,No,2,The Quarter (A16),400
172,2019/7/24,2,Wed,5,11,Chai Latte (L),4.4,1,No,5,Carslaw (F07),150
173,2019/7/24,2,Wed,5,5,Flat White (L),4.9,1,No,1,Law Library (F10),84
174,2019/7/24,2,Wed,5,15,Hot Chocolate (L),4.6,1,Yes,0,Fisher Library (F03),70
175,2019/7/24,2,Wed,5,9,Cappuccino (L),4.9,1,No,1,Law Library (F10),84
176,2019/7/24,2,Wed,5,2,Macchiato,3.8,1,No,4,Brennan MacCallum (A18),350
177,2019/7/24,2,Wed,5,16,Hot Chocolate (S),3.8,1,Yes,1,Law Library (F10),84
178,2019/7/24,2,Wed,5,2,Macchiato,3.8,1,No,3,Abercrombie (H70),700
179,2019/7/24,2,Wed,5,1,Ristretto,3.3,1,No,3,Abercrombie (H70),700
180,2019/7/24,2,Wed,5,3,Long Black (L),4,1,No,3,Abercrombie (H70),700
181,2019/7/25,3,Thu,0,5,Flat White (L),4.9,1,No,5,Carslaw (F07),150
182,2019/7/25,3,Thu,0,4,Long Black (S),3.8,1,No,6,Peter Nicol Russell (PNR),950
183,2019/7/25,3,Thu,0,14,Mocha (S),4.5,2,No,1,Law Library (F10),84
184,2019/7/25,3,Thu,0,7,Latte (L),4.9,1,No,4,Brennan MacCallum (A18),350
185,2019/7/25,3,Thu,0,16,Hot Chocolate (S),3.8,1,Yes,5,Carslaw (F07),150
186,2019/7/25,3,Thu,0,3,Long Black (L),4,1,No,4,Brennan MacCallum (A18),350
187,2019/7/25,3,Thu,0,8,Latte (S),4,1,Yes,1,Law Library (F10),84
188,2019/7/25,3,Thu,0,14,Mocha (S),4.5,1,No,6,Peter Nicol Russell (PNR),950
189,2019/7/25,3,Thu,1,3,Long Black (L),4,2,No,6,Peter Nicol Russell (PNR),950
190,2019/7/25,3,Thu,1,16,Hot Chocolate (S),3.8,1,Yes,5,Carslaw (F07),150
191,2019/7/25,3,Thu,1,1,Ristretto,3.3,1,No,5,Carslaw (F07),150
192,2019/7/25,3,Thu,1,16,Hot Chocolate (S),3.8,1,Yes,0,Fisher Library (F03),70
193,2019/7/25,3,Thu,1,5,Flat White (L),4.9,1,No,1,Law Library (F10),84
194,2019/7/25,3,Thu,1,14,Mocha (S),4.5,3,No,0,Fisher Library (F03),70
195,2019/7/25,3,Thu,1,6,Flat White (S),4,1,No,0,Fisher Library (F03),70
196,2019/7/25,3,Thu,1,14,Mocha (S),4.5,1,No,1,Law Library (F10),84
197,2019/7/25,3,Thu,1,14,Mocha (S),4.5,1,No,4,Brennan MacCallum (A18),350
198,2019/7/25,3,Thu,1,4,Long Black (S),3.8,1,No,1,Law Library (F10),84
199,2019/7/25,3,Thu,1,3,Long Black (L),4,2,No,6,Peter Nicol Russell (PNR),950
200,2019/7/25,3,Thu,1,7,Latte (L),4.9,2,No,1,Law Library (F10),84
201,2019/7/25,3,Thu,1,9,Cappuccino (L),4.9,2,No,0,Fisher Library (F03),70
202,2019/7/25,3,Thu,1,4,Long Black (S),3.8,1,No,1,Law Library (F10),84
203,2019/7/25,3,Thu,1,14,Mocha (S),4.5,1,No,2,The Quarter (A16),400
204,2019/7/25,3,Thu,1,0,Espresso,3.5,1,No,2,The Quarter (A16),400
205,2019/7/25,3,Thu,2,7,Latte (L),4.9,2,No,3,Abercrombie (H70),700
206,2019/7/25,3,Thu,2,12,Chai Latte (S),3.6,1,No,1,Law Library (F10),84
207,2019/7/25,3,Thu,2,0,Espresso,3.5,2,No,1,Law Library (F10),84
208,2019/7/25,3,Thu,2,9,Cappuccino (L),4.9,1,No,0,Fisher Library (F03),70
209,2019/7/25,3,Thu,2,9,Cappuccino (L),4.9,1,No,0,Fisher Library (F03),70
210,2019/7/25,3,Thu,2,10,Cappuccino (S),4,1,No,5,Carslaw (F07),150
212,2019/7/25,3,Thu,2,15,Hot Chocolate (L),4.6,1,Yes,1,Law Library (F10),84
213,2019/7/25,3,Thu,2,1,Ristretto,3.3,1,No,3,Abercrombie (H70),700
214,2019/7/25,3,Thu,2,15,Hot Chocolate (L),4.6,1,Yes,0,Fisher Library (F03),70
215,2019/7/25,3,Thu,2,2,Macchiato,3.8,1,No,4,Brennan MacCallum (A18),350
216,2019/7/25,3,Thu,2,12,Chai Latte (S),3.6,1,No,0,Fisher Library (F03),70
217,2019/7/25,3,Thu,2,7,Latte (L),4.9,1,No,5,Carslaw (F07),150
218,2019/7/25,3,Thu,3,0,Espresso,3.5,1,No,3,Abercrombie (H70),700
219,2019/7/25,3,Thu,3,0,Espresso,3.5,1,No,3,Abercrombie (H70),700
220,2019/7/25,3,Thu,3,10,Cappuccino (S),4,1,No,4,Brennan MacCallum (A18),350
221,2019/7/25,3,Thu,3,8,Latte (S),4,1,Yes,1,Law Library (F10),84
222,2019/7/25,3,Thu,3,2,Macchiato,3.8,1,No,0,Fisher Library (F03),70
223,2019/7/25,3,Thu,3,10,Cappuccino (S),4,1,No,5,Carslaw (F07),150
224,2019/7/25,3,Thu,3,16,Hot Chocolate (S),3.8,1,Yes,0,Fisher Library (F03),70
225,2019/7/25,3,Thu,3,4,Long Black (S),3.8,3,No,5,Carslaw (F07),150
226,2019/7/25,3,Thu,3,15,Hot Chocolate (L),4.6,1,Yes,5,Carslaw (F07),150
227,2019/7/25,3,Thu,3,9,Cappuccino (L),4.9,2,No,2,The Quarter (A16),400
228,2019/7/25,3,Thu,3,4,Long Black (S),3.8,1,No,2,The Quarter (A16),400
229,2019/7/25,3,Thu,3,3,Long Black (L),4,1,No,1,Law Library (F10),84
230,2019/7/25,3,Thu,3,6,Flat White (S),4,1,No,2,The Quarter (A16),400
231,2019/7/25,3,Thu,4,14,Mocha (S),4.5,1,No,0,Fisher Library (F03),70
232,2019/7/25,3,Thu,4,6,Flat White (S),4,1,No,3,Abercrombie (H70),700
233,2019/7/25,3,Thu,4,7,Latte (L),4.9,1,No,0,Fisher Library (F03),70
234,2019/7/25,3,Thu,4,9,Cappuccino (L),4.9,1,No,0,Fisher Library (F03),70
235,2019/7/25,3,Thu,4,4,Long Black (S),3.8,3,No,1,Law Library (F10),84
236,2019/7/25,3,Thu,4,3,Long Black (L),4,1,No,5,Carslaw (F07),150
237,2019/7/25,3,Thu,4,9,Cappuccino (L),4.9,1,No,2,The Quarter (A16),400
238,2019/7/25,3,Thu,4,13,Mocha (L),5.4,2,No,5,Carslaw (F07),150
239,2019/7/25,3,Thu,4,0,Espresso,3.5,1,No,3,Abercrombie (H70),700
240,2019/7/25,3,Thu,4,2,Macchiato,3.8,1,No,1,Law Library (F10),84
241,2019/7/25,3,Thu,5,6,Flat White (S),4,1,No,2,The Quarter (A16),400
242,2019/7/25,3,Thu,5,6,Flat White (S),4,2,No,0,Fisher Library (F03),70
243,2019/7/25,3,Thu,5,12,Chai Latte (S),3.6,1,No,0,Fisher Library (F03),70
244,2019/7/26,4,Fri,0,5,Flat White (L),4.9,1,No,3,Abercrombie (H70),700
245,2019/7/26,4,Fri,0,10,Cappuccino (S),4,2,No,5,Carslaw (F07),150
246,2019/7/26,4,Fri,0,3,Long Black (L),4,1,No,0,Fisher Library (F03),70
247,2019/7/26,4,Fri,0,16,Hot Chocolate (S),3.8,1,No,3,Abercrombie (H70),700
248,2019/7/26,4,Fri,0,5,Flat White (L),4.9,2,No,0,Fisher Library (F03),70
249,2019/7/26,4,Fri,0,15,Hot Chocolate (L),4.6,3,Yes,0,Fisher Library (F03),70
250,2019/7/26,4,Fri,1,15,Hot Chocolate (L),4.6,2,Yes,0,Fisher Library (F03),70
251,2019/7/26,4,Fri,1,9,Cappuccino (L),4.9,1,No,4,Brennan MacCallum (A18),350
252,2019/7/26,4,Fri,1,9,Cappuccino (L),4.9,1,No,3,Abercrombie (H70),700
253,2019/7/26,4,Fri,1,8,Latte (S),4,1,Yes,1,Law Library (F10),84
254,2019/7/26,4,Fri,1,16,Hot Chocolate (S),3.8,1,No,0,Fisher Library (F03),70
255,2019/7/26,4,Fri,1,11,Chai Latte (L),4.4,2,No,0,Fisher Library (F03),70
256,2019/7/26,4,Fri,1,10,Cappuccino (S),4,2,No,5,Carslaw (F07),150
257,2019/7/26,4,Fri,1,8,Latte (S),4,1,Yes,1,Law Library (F10),84
258,2019/7/26,4,Fri,1,9,Cappuccino (L),4.9,3,No,4,Brennan MacCallum (A18),350
259,2019/7/26,4,Fri,1,16,Hot Chocolate (S),3.8,1,No,1,Law Library (F10),84
260,2019/7/26,4,Fri,2,15,Hot Chocolate (L),4.6,1,Yes,0,Fisher Library (F03),70
261,2019/7/26,4,Fri,2,3,Long Black (L),4,1,No,5,Carslaw (F07),150
262,2019/7/26,4,Fri,2,1,Ristretto,3.3,1,No,6,Peter Nicol Russell (PNR),950
263,2019/7/26,4,Fri,2,1,Ristretto,3.3,1,No,1,Law Library (F10),84
264,2019/7/26,4,Fri,2,0,Espresso,3.5,1,No,1,Law Library (F10),84
265,2019/7/26,4,Fri,2,12,Chai Latte (S),3.6,1,No,0,Fisher Library (F03),70
266,2019/7/26,4,Fri,2,9,Cappuccino (L),4.9,1,No,1,Law Library (F10),84
267,2019/7/26,4,Fri,2,3,Long Black (L),4,1,No,5,Carslaw (F07),150
268,2019/7/26,4,Fri,2,16,Hot Chocolate (S),3.8,1,No,3,Abercrombie (H70),700
269,2019/7/26,4,Fri,2,0,Espresso,3.5,3,No,1,Law Library (F10),84
270,2019/7/26,4,Fri,3,12,Chai Latte (S),3.6,1,No,5,Carslaw (F07),150
271,2019/7/26,4,Fri,3,10,Cappuccino (S),4,2,No,4,Brennan MacCallum (A18),350
272,2019/7/26,4,Fri,3,15,Hot Chocolate (L),4.6,1,Yes,1,Law Library (F10),84
273,2019/7/26,4,Fri,3,16,Hot Chocolate (S),3.8,1,No,1,Law Library (F10),84
274,2019/7/26,4,Fri,4,16,Hot Chocolate (S),3.8,1,No,4,Brennan MacCallum (A18),350
275,2019/7/26,4,Fri,4,15,Hot Chocolate (L),4.6,1,Yes,0,Fisher Library (F03),70
276,2019/7/26,4,Fri,4,7,Latte (L),4.9,1,No,5,Carslaw (F07),150
277,2019/7/26,4,Fri,4,2,Macchiato,3.8,1,No,4,Brennan MacCallum (A18),350
278,2019/7/26,4,Fri,4,13,Mocha (L),5.4,2,No,3,Abercrombie (H70),700
279,2019/7/26,4,Fri,4,2,Macchiato,3.8,1,No,3,Abercrombie (H70),700
280,2019/7/26,4,Fri,4,7,Latte (L),4.9,2,No,2,The Quarter (A16),400
281,2019/7/26,4,Fri,4,15,Hot Chocolate (L),4.6,3,Yes,0,Fisher Library (F03),70
282,2019/7/26,4,Fri,5,11,Chai Latte (L),4.4,4,No,4,Brennan MacCallum (A18),350
283,2019/7/27,5,Sat,0,3,Long Black (L),4,1,No,1,Law Library (F10),84
284,2019/7/27,5,Sat,0,8,Latte (S),4,1,Yes,5,Carslaw (F07),150
285,2019/7/27,5,Sat,0,16,Hot Chocolate (S),3.8,1,No,0,Fisher Library (F03),70
286,2019/7/27,5,Sat,0,12,Chai Latte (S),3.6,3,No,3,Abercrombie (H70),700
287,2019/7/27,5,Sat,0,9,Cappuccino (L),4.9,1,No,1,Law Library (F10),84
288,2019/7/27,5,Sat,0,8,Latte (S),4,1,Yes,0,Fisher Library (F03),70
289,2019/7/27,5,Sat,0,16,Hot Chocolate (S),3.8,2,No,0,Fisher Library (F03),70
290,2019/7/27,5,Sat,0,15,Hot Chocolate (L),4.6,1,Yes,0,Fisher Library (F03),70
